"","county","state","tract","B01001_001E","ukrainian","turkish","romanian","russian","polish","german","italian","french","arabian","fips","boro_ct2010"
"224","47","36","039800",2665,91,14,0,55,13,37,472,27,18,3,"3039800"
"225","47","36","040500",1555,4,0,0,0,21,34,43,0,0,3,"3040500"
"226","47","36","040700",0,0,0,0,0,0,0,0,0,0,3,"3040700"
"227","47","36","079801",3023,6,0,0,20,116,177,101,44,13,3,"3079801"
"228","47","36","008000",3835,25,10,0,47,0,127,41,42,7,3,"3008000"
"229","47","36","008800",3042,7,0,0,21,253,99,134,0,0,3,"3008800"
"230","47","36","009200",5703,0,0,0,63,127,36,64,36,0,3,"3009200"
"231","47","36","116000",2126,0,0,0,0,0,19,32,0,0,3,"3116000"
"232","47","36","069800",1478,27,0,0,90,10,111,347,5,0,3,"3069800"
"233","47","36","072000",2261,13,0,0,0,19,8,20,0,0,3,"3072000"
"234","47","36","073600",3569,0,0,0,1,9,30,1,19,82,3,"3073600"
"235","47","36","074200",3326,0,32,0,72,185,77,59,0,62,3,"3074200"
"236","47","36","074600",2600,23,24,13,109,170,59,157,5,31,3,"3074600"
"237","47","36","076600",2416,16,0,5,35,18,65,0,33,3,3,"3076600"
"238","47","36","077000",3131,0,0,0,62,0,127,80,0,0,3,"3077000"
"239","47","36","021900",3576,17,0,0,91,47,137,150,41,8,3,"3021900"
"240","47","36","074800",1741,4,5,4,29,183,16,49,4,10,3,"3074800"
"241","47","36","065600",1788,15,0,9,28,13,37,562,5,4,3,"3065600"
"242","47","36","067200",1587,0,0,0,0,0,0,48,0,112,3,"3067200"
"243","47","36","070201",5939,444,104,23,540,453,52,854,0,0,3,"3070201"
"244","47","36","026400",4931,126,0,0,127,165,30,577,0,206,3,"3026400"
"245","47","36","083000",6220,0,0,0,0,0,0,19,33,0,3,"3083000"
"246","47","36","083400",1477,0,0,0,0,0,0,0,8,0,3,"3083400"
"247","47","36","018400",2993,0,0,16,70,5,23,991,0,42,3,"3018400"
"248","47","36","006500",5874,50,19,14,357,226,812,1532,443,50,3,"3006500"
"249","47","36","019500",3901,11,0,0,44,152,348,229,79,31,3,"3019500"
"250","47","36","019900",3829,32,0,0,38,67,325,265,57,40,3,"3019900"
"251","47","36","038500",3503,0,6,0,11,28,45,26,0,0,3,"3038500"
"252","47","36","002200",4907,46,0,0,28,24,88,108,6,115,3,"3002200"
"253","47","36","003700",1175,0,4,4,40,62,68,153,41,37,3,"3003700"
"254","47","36","062000",2112,291,0,0,431,63,22,155,0,48,3,"3062000"
"255","47","36","080800",1338,0,0,0,13,11,3,9,0,0,3,"3080800"
"256","47","36","054800",2068,56,22,2,196,43,41,97,19,191,3,"3054800"
"257","47","36","037500",3042,0,0,0,0,18,28,27,0,68,3,"3037500"
"258","47","36","024700",2398,0,0,0,21,32,70,45,65,0,3,"3024700"
"259","47","36","024900",4630,23,0,0,44,65,194,176,41,147,3,"3024900"
"260","47","36","025600",3338,0,0,0,30,128,30,413,0,275,3,"3025600"
"261","47","36","027800",3181,97,42,0,274,80,59,299,31,11,3,"3027800"
"262","47","36","028501",460,6,0,0,0,0,0,5,0,0,3,"3028501"
"263","47","36","028900",3789,0,0,0,0,17,68,31,1,0,3,"3028900"
"264","47","36","029100",2896,0,0,0,21,27,70,30,33,0,3,"3029100"
"265","47","36","016900",4739,62,0,0,286,30,655,163,124,22,3,"3016900"
"266","47","36","036400",2498,291,0,17,469,0,41,118,58,12,3,"3036400"
"267","47","36","037300",4050,0,0,0,6,8,70,83,8,0,3,"3037300"
"268","47","36","054400",3344,149,0,0,277,186,159,35,0,25,3,"3054400"
"269","47","36","068200",3050,14,0,0,0,37,30,297,0,8,3,"3068200"
"270","47","36","080600",3730,12,0,16,142,36,102,9,9,0,3,"3080600"
"271","47","36","085400",1987,0,0,0,0,6,11,12,31,0,3,"3085400"
"272","47","36","091000",4876,0,0,0,0,0,0,19,0,0,3,"3091000"
"273","47","36","017000",3419,82,0,0,10,93,66,972,0,129,3,"3017000"
"274","47","36","044100",5261,31,0,0,51,45,71,41,36,21,3,"3044100"
"275","47","36","044400",3514,79,0,0,86,27,264,111,31,177,3,"3044400"
"276","47","36","099800",3539,0,0,0,92,36,0,17,0,0,3,"3099800"
"277","47","36","007600",5124,0,0,18,60,17,108,83,8,0,3,"3007600"
"278","47","36","014700",2535,76,6,12,42,146,262,218,32,36,3,"3014700"
"279","47","36","021300",4228,19,24,0,52,55,127,128,20,0,3,"3021300"
"280","47","36","024600",2892,32,0,0,61,50,26,422,0,0,3,"3024600"
